"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","211","510422","0.0-7.0-2.35","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw013.bmp","1","Match","e","1500","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","212","514431","0.0-7.0-3.35","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","213","515228","0.0-7.0-4.35","","796","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw013.bmp","1","Match","e","1500","trustrating_stim/white_mw013.bmp","green","Share","REAL","1"
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","214","515735","0.0-7.0-5.35","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","215","516239","0.0-7.0-1.36","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","216","520742","0.0-7.0-2.36","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp","1,0,0","noMatchFace","i","4500","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","217","524750","0.0-7.0-3.36","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","218","526329","0.0-7.0-4.36","","1576","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp","1,0,0","noMatchFace","i","4500","trustrating_stim/white_mw040.bmp","red","Keep","REAL","1"
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","219","526832","0.0-7.0-5.36","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","220","527336","0.0-7.0-1.37","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
