"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"image-keyboard-response","105","151135","0.0-6.0-1.50","","976","","","","rating","","trustrating_stim/white_00761_941201_fb_edt.bmp","6",""
"image-keyboard-response","106","151341","0.0-6.0-2.50","","null","","","","ratingFB","","trustrating_stim/white_00761_941201_fb_edt.bmp","null",""
"image-keyboard-response","107","153690","0.0-6.0-1.51","","2230","","","","rating","","trustrating_stim/white_mw046.bmp","6",""
"image-keyboard-response","108","153903","0.0-6.0-2.51","","null","","","","ratingFB","","trustrating_stim/white_mw046.bmp","null",""
"image-keyboard-response","109","160379","0.0-6.0-1.52","","6370","","","","rating","","trustrating_stim/white_mw063.bmp","5",""
"image-keyboard-response","110","160591","0.0-6.0-2.52","","null","","","","ratingFB","","trustrating_stim/white_mw063.bmp","null",""
"image-keyboard-response","111","161843","0.0-6.0-1.53","","1140","","","","rating","","trustrating_stim/white_mw071.bmp","3",""
"image-keyboard-response","112","162046","0.0-6.0-2.53","","null","","","","ratingFB","","trustrating_stim/white_mw071.bmp","null",""
"image-keyboard-response","113","163523","0.0-6.0-1.54","","1363","","","","rating","","trustrating_stim/white_mw084.bmp","5",""
"image-keyboard-response","114","163729","0.0-6.0-2.54","","null","","","","ratingFB","","trustrating_stim/white_mw084.bmp","null",""
"image-keyboard-response","115","164868","0.0-6.0-1.55","","1026","","","","rating","","trustrating_stim/white_mw048.bmp","5",""
"image-keyboard-response","116","165077","0.0-6.0-2.55","","null","","","","ratingFB","","trustrating_stim/white_mw048.bmp","null",""
"image-keyboard-response","117","168670","0.0-6.0-1.56","","3479","","","","rating","","trustrating_stim/white_mw056.bmp","5",""
"image-keyboard-response","118","168878","0.0-6.0-2.56","","null","","","","ratingFB","","trustrating_stim/white_mw056.bmp","null",""
"image-keyboard-response","119","170013","0.0-6.0-1.57","","1027","","","","rating","","trustrating_stim/white_00659_941121_fa_edt.bmp","4",""
"image-keyboard-response","120","170222","0.0-6.0-2.57","","null","","","","ratingFB","","trustrating_stim/white_00659_941121_fa_edt.bmp","null",""
"image-keyboard-response","121","172280","0.0-6.0-1.58","","1953","","","","rating","","trustrating_stim/white_00898_960530_fa_edt.bmp","2",""
"image-keyboard-response","122","172486","0.0-6.0-2.58","","null","","","","ratingFB","","trustrating_stim/white_00898_960530_fa_edt.bmp","null",""
"","","","","","","fullscreenexit","123","176904","fullscreenexit","","","",""
"","","","","","","blur","123","182895","blurevent","","","","1"
