PROLIFIC_PID,totalTime,PID,subjLR_3prm,subjD_3prm,subjp0_3prm,subjNLL_3prm,subjLRTp_3prm,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv
5d2a49241d8d930001c263a7,506.116,,0.007086584324717171,0.9999546021312976,0.47638679293714514,208.2894977962055,0.003937070393171201,0.030303030303030304,0.0,0.15151515151515152,4.0,0.0,0.0,0.0,14.93,0.0
5c2a9b55867f660001af0515,323.088,,0.01819301397761338,0.9999546021312976,-0.6658294760957315,193.9516433894373,1.188388711857129e-09,0.22727272727272727,0.0,0.17424242424242425,4.11,0.0,0.0,0.16666666666666666,9.49,0.0
5de8887aa2db898017debf1a,412.356,,0.005951629894988557,0.9999546021312976,0.5665396715907682,205.70843257300146,0.00024179621258919575,0.15151515151515152,0.0,0.05303030303030303,4.69,0.0,0.0,0.0,14.78,0.0
62b500cfbf7d382239502ad0,431.513,,0.08570027113482519,4.5397868702434395e-05,1.0,116.95290032766574,1.937105428688395e-43,0.4393939393939394,0.0,0.9924242424242424,7.66,0.0,0.16666666666666666,0.8333333333333334,9.43,0.0
610075c1ef04d1f734032f69,530.987,,0.43038286879982796,0.19406079642053592,1.0,183.21073562240252,2.0640011618680487e-14,0.045454545454545456,0.0,0.3333333333333333,18.34,0.0,0.0,0.0,34.69,0.0
6362c4beb39ee39d15890c5c,391.352,,4.5397868702434395e-05,0.998938798751184,0.8165844870106613,194.45894266174588,1.999964516723119e-09,0.6363636363636364,0.0,0.45454545454545453,16.75,0.0,0.0,0.16666666666666666,16.76,2.0
571144323d47e800096358d9,339.781,,0.8839355560216002,0.19054948305647296,1.0,175.62104343886352,9.329443475471084e-18,0.4090909090909091,0.0,0.44696969696969696,5.42,0.0,0.0,0.16666666666666666,20.51,2.0
63614cab87b22b72231c66e0,673.436,,0.0229431911658112,4.5397868702434395e-05,-0.14200574775186706,211.47684370784745,0.1638943957988026,0.8181818181818182,0.03787878787878788,0.24242424242424243,0.96,0.6666666666666666,0.0,0.3333333333333333,3.9,0.0
63ea79021f0c43def6174042,491.865,,0.06657194342785523,4.5397868702434395e-05,1.0,114.76610824016815,2.1506738788863422e-44,0.8106060606060606,0.0,0.9924242424242424,87.27,0.0,0.0,0.16666666666666666,1.41,8.0
63e554b7631c8ec3ce069e32,430.31,,0.047821249864463844,0.1099300613999666,1.0,181.62821687811882,4.133677141148818e-15,0.4166666666666667,0.0,0.3712121212121212,14.54,0.0,0.0,0.8333333333333334,24.87,1.0
